学校,官网,招生网
武汉大学,http://www.whu.edu.cn,http://openday.whu.edu.cn/
浙江大学,http://www.zju.edu.cn,http://zdzsc.zju.edu.cn/
厦门大学,http://www.xmu.edu.cn,http://zsb.xmu.edu.cn/
四川大学,http://www.scu.edu.cn,http://zs.scu.edu.cn/zhaosheng/index.php
清华大学,http://www.tsinghua.edu.cn,http://www.join-tsinghua.edu.cn/
中山大学,http://www.sysu.edu.cn,http://admission.sysu.edu.cn/
复旦大学,http://www.fudan.edu.cn/,http://www.ao.fudan.edu.cn/mainAction.do
山东大学,http://www.bkzs.sdu.edu.cn,http://www.bkzs.sdu.edu.cn/
西安交通大学,http://www.xjtu.edu.cn/,http://zs.xjtu.edu.cn/
北京大学,http://www.pku.edu.cn,http://www.gotopku.cn/
南开大学,http://www.nankai.edu.cn,http://zsb.nankai.edu.cn/
吉林大学,http://www.jlu.edu.cn,http://zsb.jlu.edu.cn/
苏州大学,http://www.suda.edu.cn,http://www.suda.edu.cn/enroll_job/?id=1
西南大学,http://www.swnu.edu.cn,http://bknzsw.swu.edu.cn/
哈尔滨工业大学,http://www.hit.edu.cn/,http://zsb.hit.edu.cn/
东南大学,http://www.seu.edu.cn,http://zsb.seu.edu.cn/
天津大学,http://www.tju.edu.cn,http://zs.tju.edu.cn/
中南大学,http://www.csu.edu.cn,http://zhaosheng.csu.edu.cn/web/portal/home.aspx
上海交通大学,http://www.sjtu.edu.cn,http://zsb.sjtu.edu.cn/
西北大学,http://www.nwu.edu.cn/,http://zsb.nwu.edu.cn/
华南理工大学,http://www.scut.edu.cn,http://www.scut.edu.cn/admission/
华东师范大学,http://www.ecnu.edu.cn,http://www.zsb.ecnu.edu.cn/webapp/index.jsp
同济大学,http://www.tongji.edu.cn,http://bkzs.tongji.edu.cn/index.php?classid=3375
中国科学技术大学,http://www.ustc.edu.cn,http://zsb.ustc.edu.cn/
华中科技大学,http://www.hust.edu.cn,http://zsb.hust.edu.cn/
辽宁大学,http://www.lnu.edu.cn,http://zs.lnu.edu.cn/webs/index.asp
武汉理工大学,http://www.whut.edu.cn,http://zs.whut.edu.cn/
西北农林科技大学,http://www.nwsuaf.edu.cn/,http://www.nwsuaf.edu.cn/
南京大学,http://www.nju.edu.cn,http://bkzs.nju.edu.cn/
海南大学,http://www.hainu.edu.cn,http://www.hainu.edu.cn/stm/zhaosheng/shtml_liebia
北京师范大学,http://www.bnu.edu.cn,http://admission.bnu.edu.cn/jcms/index.jspx
大连理工大学,http://www.dlut.edu.cn/,http://recruit.dlut.edu.cn/www/index/index.jsp
中国民航大学,http://www.cauc.edu.cn,http://www.cauc.edu.cn/zsb/
中国计量大学,http://www.cjlu.edu.cn,
北京工业大学,http://www.bjut.edu.cn,http://202.112.78.104/serv/recruit/index.jsp
国防科学技术大学,http://www.nudt.edu.cn,
长江大学,http://www.yangtzeu.edu.cn,http://zszc.yangtzeu.edu.cn/
西南交通大学,http://www.swjtu.edu.cn,http://zhaosheng.swjtu.edu.cn/
大连海事大学,http://www.dlmu.edu.cn,http://bkzs.dlmu.edu.cn/
中国人民解放军信息工程大学,http://zhaosheng.plaieu.edu.cn,
首都师范大学,http://www.cnu.edu.cn,http://www.cnu.edu.cn/zsjy2/zsgz/index.htm
宁波工程学院,http://www.nbut.cn,http://zs.nbut.edu.cn/
上海财经大学,http://www.shufe.edu.cn,http://www.shufe.edu.cn/structure/xiaowugk/zhaoshe
